"CAINC30 Economic Profile"
"Personal income (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"14540","Bowling Green, KY (Metropolitan Statistical Area)",216233,238044,265227,303342,350258,387810,427934,485803,541776,620309,707127,776348,902933,963143,999561,1135188,1195288,1207908,1275438,1404839,1536005,1608506,1723952,1881486,1992916,2138330,2249560,2414904,2591321,2711781,2852483,3090485,3215888,3321902,3453781,3696534,3923750,4108251,4326824,4567053,4476122,4732922,4999075,5180670,5263153,5553337,5869334,6010065,6241402,6400089,6652350
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",460713,486434,507925,550509,629457,742964,858418,955374,1101571,1260302,1449681,1625238,1785897,1981503,2208199,2323081,2450140,2521180,2709242,2998253,3260819,3784198,4157382,4501517,4743043,4957911,5229188,5495060,5942242,6200280,6492787,7101007,7345674,7666910,8080898,8620494,9068926,9574469,10011248,10543818,10346466,10639890,10954944,11375132,11372919,12094971,12669582,13288233,14065097,15159557,15982626
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",4595442,4860504,5101426,5483660,5883424,6352715,6814123,7449088,8289329,9308626,10522084,12114690,13778176,14892004,15790894,17748238,19125106,20490336,22322461,24980133,27114309,27933582,28246727,31689819,32629970,33471898,36425112,39005828,41990761,46637033,49621767,55098347,58979021,57904478,58066622,61640489,66817392,73925664,81892315,90512632,89508015,95360433,96584971,96932032,91393072,96903612,98831179,101605049,105035532,110852692,114517862
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",281577,313753,365169,413943,485003,571166,653609,729412,800019,943986,1075955,1235507,1455488,1561377,1672892,1774807,1926454,1983233,2043684,2205592,2380309,2650173,2857614,3203167,3476116,3700012,3869868,4086295,4365735,4649258,4810831,5179027,5702060,6093730,6409249,6611838,6983279,7488857,7990931,8543864,8882951,9518840,9962797,10228234,10444514,10836016,11172451,11427833,11662651,12216651,12664258
"15260","Brunswick, GA (Metropolitan Statistical Area)",191539,217294,248873,275680,297353,314290,320878,367868,412371,469980,531687,600992,667188,706194,756277,839210,920227,993481,1054558,1150821,1271085,1356242,1426502,1538624,1625010,1731405,1871148,2025088,2138358,2284621,2360964,2499801,2581382,2676667,2834286,3086387,3287084,3559051,3660547,3619856,3463559,3597292,3755089,3786846,3826129,4018568,4301360,4437939,4649984,4963920,5093781
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",5348331,5668577,6108318,6463718,7018358,7575057,8181205,8816270,9606553,10367645,11384785,12362259,13489641,14206810,14899860,16286109,17216569,18118687,18859407,20208866,21653398,23061417,23541813,24696198,25198310,26119373,27236237,28053194,29053334,29993114,31175518,32826706,32974722,33534588,34640516,36011620,36514174,38358823,40295525,42108452,42515638,43978449,45825295,47450812,47907088,49290908,51464192,52438950,55298925,56783377,59028041
"15500","Burlington, NC (Metropolitan Statistical Area)",329879,350273,381007,424017,469926,504551,536960,590057,628721,697983,781945,871795,979962,1050004,1133432,1254093,1334700,1448617,1548484,1682733,1829543,1901481,1981909,2111525,2245397,2379702,2545725,2695792,2900497,3120173,3286244,3457352,3596372,3658312,3774373,3849857,4003936,4357918,4663288,4856635,4728074,4846334,5052980,5258423,5274613,5541165,5789896,6022761,6287496,6650506,6982583
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",464806,516335,556777,606443,654967,706184,791194,880961,960758,1114324,1265516,1428519,1622347,1768338,1913244,2106272,2313562,2495723,2708768,2991002,3346857,3521968,3614329,3852004,4023183,4184528,4461385,4741595,5001261,5400717,5811248,6332014,6635609,6795901,7128643,7508807,7734611,8231337,8659841,9167806,9032205,9289099,9968816,10349481,10566683,11022854,11453310,11722028,12081200,12545471,12929749
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",174470,205033,230307,259542,278652,314963,313494,347827,383723,429820,464968,527810,637140,695208,736046,807286,880016,950696,1042225,1178101,1293795,1395218,1475771,1554785,1585392,1638346,1713367,1842676,2113630,2357991,2446885,2640910,2687641,2921897,3178909,3427720,3661019,3927946,4207038,4484205,4684281,4961849,5266435,5364105,5372070,5559929,5798401,5971637,6135724,6404219,6649699
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",1460965,1539014,1594880,1767736,1991029,2228143,2393365,2607650,2889951,3219758,3618783,3960435,4377425,4520150,4673058,5082542,5308867,5454943,5716044,6115930,6556918,6931864,7042221,7530403,7861478,8293385,8681847,9048955,9423245,10116585,10415807,10993374,11101978,11264708,11597301,11958523,12327626,12842628,13485476,13949367,13403520,13728976,14677690,15281159,15451303,16096415,16623077,16608410,17180907,17793419,18310362
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",363834,424777,481303,566888,700122,822773,916640,1045610,1224202,1483214,1761290,2149997,2569819,2744856,3093013,3531951,3987867,4441540,4920677,5486734,6386328,6807498,6933177,7308276,7782306,8330303,9093151,9535549,10162884,10974190,11553777,12750292,14327685,14807474,16019330,18558224,20804368,24139351,24796068,25183364,24307032,24256409,26123867,26872504,27257232,30159057,32477798,34758296,36788238,38547795,40119053
