"CAINC30 Economic Profile"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",165837,166024,160591,163820,173392,179109,173184,173726,177260,184559,189646,186051,184686,177193,172450,179713,183119,185112,191292,194561,198003,201081,200722,199451,202448,207012,212418,215591,218984,224798,226886,232230,225330,221364,217698,218617,220170,216097,217378,215543,205924,203967,209428,213719,217118,220086,219327,220200,221476,222134,222779
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",39413,42485,44589,49836,58032,61830,61397,65373,73310,83121,90770,96755,103581,106186,113430,121575,129854,136443,138260,149455,159512,164024,163361,162757,170194,178317,186043,191718,196507,205733,211109,219932,232767,240323,258600,276146,300554,316326,315773,298689,284886,284625,292596,301974,314675,334635,353157,364213,378173,391979,403070
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",30570,30842,31125,31770,33247,34420,34141,36445,37517,39115,39912,39014,39055,39480,40586,41905,43356,44845,46098,46557,47610,49146,48247,49450,50713,52387,54098,54280,54484,56838,58769,59512,57816,57787,58156,58289,59727,61015,62379,61857,60395,59229,59171,59680,60567,60057,60159,60485,60471,61477,62193
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)",42262,42531,43896,44940,45845,46928,47628,50771,52204,53029,54460,54137,54100,54033,55161,56323,56447,58154,58609,58595,59587,61514,61999,62930,63450,66521,67208,67252,68160,69232,71824,73462,73611,73596,73383,73641,75320,76453,76746,76316,75989,76016,76746,76453,75323,75609,76612,76760,76499,76649,77735
"16180","Carson City, NV (Metropolitan Statistical Area)",7636,8194,9095,9860,11152,12036,12528,13820,15384,17838,19081,19360,19536,18960,19392,20535,21622,22495,24244,25165,25785,26766,27173,27073,28566,30498,32941,34369,35519,36263,37564,39240,41635,41771,41908,43058,43878,43921,42266,41157,39407,38440,38076,37406,37531,37521,37670,38260,39425,39484,40470
"16220","Casper, WY (Metropolitan Statistical Area)",26025,25733,26453,27009,28431,30410,33334,35183,39229,44060,46821,48294,51043,49117,44001,44094,42169,37710,36574,37519,37111,38058,38809,38045,38759,39738,40383,40551,41280,41582,42325,43624,44539,44730,45554,47196,48826,50902,52732,53987,51712,51833,53356,55493,56643,57785,57144,53916,53752,54082,55034
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",99182,96649,94803,96324,100990,104894,105550,108639,110943,114026,121050,119634,116231,111314,110835,113084,115476,117488,119721,125116,129901,131540,132831,133978,136563,140427,146630,149382,152680,157170,161738,164865,163779,160448,159065,161774,164717,168369,172462,174581,172876,173011,175478,176557,177257,178979,181126,181318,181249,182251,184455
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",45921,45763,44890,46239,48655,50542,50373,50555,50537,51634,52438,53620,53452,52664,51891,52342,53479,54682,56100,58222,60503,62343,61587,61679,62013,62399,63732,65054,66252,65520,64503,65163,64999,65382,66732,69437,72375,74675,76580,77395,73881,73831,74708,75353,76282,77148,78835,79392,79434,81022,81956
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",88524,84921,87413,88459,92485,93736,95734,97061,98444,99780,101628,101208,101155,101614,101002,103920,106269,111207,113863,116968,116540,118855,117580,117614,113982,116082,118170,119770,121130,123316,126090,128979,129448,128925,128853,130064,129866,130940,133070,134046,131717,130045,129488,129617,130365,131733,133586,133428,134723,135289,137330
"16620","Charleston, WV (Metropolitan Statistical Area)",122343,123426,124223,126920,131311,134891,137433,141841,146084,152494,156276,152464,145666,141138,136608,137842,138153,138108,137617,139362,140383,144191,144766,147343,149778,154304,157425,158902,161195,162819,164269,165406,163753,162135,160497,160428,161220,162759,164092,163921,160817,159715,160242,160455,158512,156904,154423,151220,148777,152384,147626
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",147845,152101,151142,153558,162266,172300,176227,183691,188099,197797,204605,209543,217214,217116,222685,236807,246759,255473,263378,270818,275672,289036,287878,283152,282830,280828,281375,282824,293859,304992,316969,323851,327147,333500,341030,353803,364423,374776,391799,394806,381979,384824,399885,408522,418733,432505,448927,468020,481635,501446,514430
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",501951,511572,519318,543510,566399,566214,540283,562341,585960,614689,642177,647215,654480,644062,658173,698059,721856,748162,778947,814091,836798,855907,841597,854956,884610,920169,959858,986357,1025865,1056196,1094733,1126455,1131782,1134667,1137783,1166374,1209673,1263361,1320238,1322580,1269767,1263077,1318012,1347262,1383036,1437676,1490981,1541709,1589080,1636445,1683494
