CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20220,"Dubuque, IA (Metropolitan Statistical Area)",89201,88932,89132,90012,90462,90769,91258,92130,92519,92948,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",286858,288091,287980,288371,288187,287696,287672,288147,289433,290337,290542,290594,290176,290193,290261,289741,289395,289108,289260,288732
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",474940,485366,493757,499238,504619,512402,523405,536055,548275,559164,566267,572520,581735,590364,599236,607706,618222,625678,637501,644367
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",139710,143775,148833,154027,158181,162045,165185,167352,168576,169390,169849,169891,168628,167355,167285,166481,166220,167895,169294,170271
20740,"Eau Claire, WI (Metropolitan Statistical Area)",148656,149655,150846,151816,153419,154809,156167,157654,158700,160271,161655,162886,163892,164822,165023,165501,166430,167329,168464,169304
20940,"El Centro, CA (Metropolitan Statistical Area)",142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",134506,135657,136591,136333,138230,140177,140870,141844,142988,143829,149833,151319,151501,152228,151675,148107,148941,150390,153201,153928
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",183412,184708,184543,187149,189316,192242,195047,196304,197762,197514,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341
21300,"Elmira, NY (Metropolitan Statistical Area)",91094,90780,90613,90154,89777,88860,88732,88634,88503,88849,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456
21340,"El Paso, TX (Metropolitan Statistical Area)",685086,692568,699844,708545,720997,731511,748254,759040,773304,790182,807048,823308,835667,834203,837089,835439,839203,842005,841613,844124
21420,"Enid, OK (Metropolitan Statistical Area)",57721,57279,57249,57230,57459,57358,57723,58153,58845,59989,60765,60763,61399,62370,62790,63248,62493,61600,61095,61056
21500,"Erie, PA (Metropolitan Statistical Area)",280803,280647,280379,280153,277864,277211,278389,278573,278686,279838,280799,281327,281532,280717,279423,278174,276170,273558,271544,269728
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",323492,324855,327506,330845,332327,335831,339926,344844,348176,350850,351920,354034,355075,355481,358027,361946,368874,375264,378549,382067
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",296480,297027,298383,300628,302310,303844,305549,307468,308614,310170,311802,312698,313422,314331,314859,314983,315283,314791,314660,315086
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",83005,84814,86095,86885,89043,90431,90545,93545,94552,95238,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",174970,177033,178891,181539,186448,189303,193412,197121,201346,206223,209455,213222,217610,223360,227790,232891,237244,241511,244311,246145
22140,"Farmington, NM (Metropolitan Statistical Area)",114131,115745,119430,121553,123179,124809,125028,126149,126905,129359,130203,129711,129756,129467,129084,128246,127954,126917,125499,123958
22180,"Fayetteville, NC (Metropolitan Statistical Area)",429071,432206,437190,436610,444293,444221,451761,456550,464464,474524,490446,499149,502672,509180,510635,511976,516822,517527,522461,526719
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",327867,336662,345922,357352,370284,385269,401039,413543,423649,432067,442301,452884,462291,471140,480513,491730,503806,515616,525239,534904
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",116773,118283,121308,122882,125117,127025,128695,130442,131853,133477,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476
22420,"Flint, MI (Metropolitan Statistical Area)",436965,438584,440062,441689,442534,442508,441164,438109,433082,427989,424953,422026,418193,415639,412859,410461,408926,407488,406688,405813
