MSA,city,state_id,lat,lng,MSA
"Irving, TX",Irving,TX,32.8584,-96.9702,"Irving, TX"
"Visalia, CA",Visalia,CA,36.3276,-119.3269,"Visalia, CA"
"Atlantic City, NJ",Atlantic City,NJ,39.3797,-74.4527,"Atlantic City, NJ"
"Paradise, NV",Paradise,NV,36.0807,-115.1369,"Paradise, NV"
"Nashua, NH",Nashua,NH,42.7491,-71.491,"Nashua, NH"
"Arlington, VA",Arlington,VA,38.8786,-77.1011,"Arlington, VA"
"Hialeah, FL",Hialeah,FL,25.8696,-80.3046,"Hialeah, FL"
"York, PA",York,PA,39.9651,-76.7315,"York, PA"
"Evansville, IN",Evansville,IN,37.9881,-87.5341,"Evansville, IN"
"Avondale, AZ",Avondale,AZ,33.3858,-112.3236,"Avondale, AZ"
"Brownsville, TX",Brownsville,TX,25.998,-97.4565,"Brownsville, TX"
"Gulfport, MS",Gulfport,MS,30.4271,-89.0703,"Gulfport, MS"
"Appleton, WI",Appleton,WI,44.2779,-88.3891,"Appleton, WI"
"Bremerton, WA",Bremerton,WA,47.5436,-122.7122,"Bremerton, WA"
"Hickory, NC",Hickory,NC,35.7425,-81.323,"Hickory, NC"
"Tacoma, WA",Tacoma,WA,47.2431,-122.4531,"Tacoma, WA"
"San Bernardino, CA",San Bernardino,CA,34.1417,-117.2946,"San Bernardino, CA"
"College Station, TX",College Station,TX,30.5852,-96.296,"College Station, TX"
"Kalamazoo, MI",Kalamazoo,MI,42.2749,-85.5882,"Kalamazoo, MI"
"Thousand Oaks, CA",Thousand Oaks,CA,34.1914,-118.8755,"Thousand Oaks, CA"
"Roanoke, VA",Roanoke,VA,37.2785,-79.958,"Roanoke, VA"
"Fontana, CA",Fontana,CA,34.0968,-117.4599,"Fontana, CA"
"Moreno Valley, CA",Moreno Valley,CA,33.9244,-117.2045,"Moreno Valley, CA"
"North Port, FL",North Port,FL,27.0577,-82.1975,"North Port, FL"
"Fargo, ND",Fargo,ND,46.8652,-96.8292,"Fargo, ND"
"Green Bay, WI",Green Bay,WI,44.515,-87.9896,"Green Bay, WI"
"Spring Valley, NV",Spring Valley,NV,36.0987,-115.2619,"Spring Valley, NV"
"Amarillo, TX",Amarillo,TX,35.1988,-101.8311,"Amarillo, TX"
"Portland, ME",Portland,ME,43.6773,-70.2715,"Portland, ME"
"Santa Barbara, CA",Santa Barbara,CA,34.4285,-119.7202,"Santa Barbara, CA"
"Gainesville, FL",Gainesville,FL,29.6804,-82.3458,"Gainesville, FL"
"Olympia, WA",Olympia,WA,47.0417,-122.8959,"Olympia, WA"
"Frisco, TX",Frisco,TX,33.1555,-96.8215,"Frisco, TX"
"Yonkers, NY",Yonkers,NY,40.9466,-73.8674,"Yonkers, NY"
"Norwich, CT",Norwich,CT,41.5495,-72.0882,"Norwich, CT"
"Glendale, CA",Glendale,CA,34.1818,-118.2468,"Glendale, CA"
"Huntington Beach, CA",Huntington Beach,CA,33.696,-118.0025,"Huntington Beach, CA"
"Deltona, FL",Deltona,FL,28.905,-81.2137,"Deltona, FL"
"Aurora, IL",Aurora,IL,41.7637,-88.2901,"Aurora, IL"
"Tempe, AZ",Tempe,AZ,33.3881,-111.9318,"Tempe, AZ"
